CÓDIGO,CST 00,CST 02,CST 10,CST 15,CST 20,CST 30,CST 40,CST 41,CST 50,CST 51,CST 53,CST 60,CST 61,CST 70,CST 90,DATA INÍCIO,DATA FIM,DESCRIÇÃO,DESCRIÇÃO PARA NFA-e,OBSERVAÇÃO,Contagem de caracteres
RS051131,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CLX.MAT.E EQUIP.USO DOS ESCOTEIROS","ISENÇÃO - Fornecimento pela União dos Escoteiros do Brasil, de materiais/equiptos. de uso dos escoteiros a associados",,117
RS051132,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CLXI.FOSF.DE OSELTAMIVIR,PAC.GRIPE A",ISENÇÃO - Operações com fosfato de oseltamivir vinculadas ao Farmácia Popular do Brasil ao tratamento da Gripe A (H1N1),,119
RS051135,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CLXVI.MERC.FUND.PAO DOS POBRES.S.ANT","ISENÇÃO - Saídas internas de mercadorias promovidas pela Fundação O Pão dos Pobres de Santo Antônio, CGC/TE 096/0217657",,119
RS051136,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9,CLXVIII.REPR.CAMARAO MARINHO",ISENÇÃO - Saídas de reprodutores de camarão marinho produzidos no País,,70
RS051137,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CLXXII.BENS/MERC.ATV.EXP.PET./GAS NAT.","ISENÇÃO - Saídas,ao exterior,dos bens/merc.que serão importados, utiliz.em ativ.de expl./prod. de petróleo/gás natural",,118
RS051138,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CLXXIV.GEN.AL.REG.P/MER.ESC.-PRONAF",ISENÇÃO - Saídas internas de gên.alimentícios regionais p/merenda escolar por produtores rurais do Pronaf,,105
RS051139,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31012019,"LIVRO I,9,CLXXVIII.FARM./MED.DERIVADOS PLASMA HUM.",ISENÇÃO - Código encerrado,,26
RS051141,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122018,"LIVRO I,9,CLXXX -ARROZ BENEFICIADO-PMA",ISENÇÃO - Revogada,,18
RS051142,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CLXXXI.MERC.CONST.CONS.MOD.REP.EMBARC.","ISENÇÃO - Saídas de mercadorias por fabricante, às embarcações utilizadas no serviço de transporte aquaviário de cargas",,119
RS051143,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CLXXXIII.GADO VACUM P/TESTE VAC.FEB.AFT.",ISENÇÃO - Operações internas/serviço de transporte com gado vacum a ser utilizado em testes de vacinas para febre aftosa,,120
RS051144,,,,,,SIM,SIM,SIM,,,,,,,,1102016,1102016,"LIVRO I,9,CLXXXIV -RAC.ANI./INS.P/SEMIARIDO",ISENÇÃO - Código encerrado,,26
RS051145,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CLXXXV.MAQ./EQ.IND.P/GER.HIDRELETRICAS","ISENÇÃO - Saídas internas das máquinas, aparelhos e equipamentos industriais, constantes do Apêndice XLII",,105
RS051146,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CLXXXVI.CINZAS DE CASCA DE ARROZ",ISENÇÃO - Operações internas e as correspondentes prestações de serviço de transporte com cinzas de casca de arroz,,114
RS051148,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,9,CXC.MERC.DEST.A ITAIPU BINACIONAL","ISENÇÃO - Saídas de mercadorias, decorrentes de vendas, destinadas à Itaipu Binacional",,86
RS051149,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I, 9,CXCI.ACEL.LIMEARES","ISENÇÃO - Operações com aceleradores lineares, classificados no código 9022.21.90 da NBM/SH-NCM",,95
RS051150,,,,,,SIM,SIM,SIM,,,,,,,,1102016,12022019,"LIVRO I,9, CXCII. TRENS UNIDADE ELETRICOS",ISENÇÃO - Código encerrado,,26
RS051151,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122017,"LIVRO I,9, CXCIII. AP./EQUIP.P/JOGOS OLIMP./PO",ISENÇÃO - Código encerrado,,26
RS051152,,,,,,SIM,SIM,SIM,,,,,,,,1102016,30042017,"LIVRO I,9, CXCIV. MAQ.EQ.AT.IM.P/SENAI,S.,S.",ISENÇÃO - Código encerrado,,26
RS051153,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,9, CXCV. ARROZ ORG.P/ENSINO PUBLICO","ISENÇÃO - Saídas interestaduais de arroz orgânico à merenda escolar da rede públ.de ensino, por coop.produtores - Pronaf",,120
RS051154,,,,,,SIM,SIM,SIM,,,,,,,,1102016,6122019,"LIVRO I,9, CXCVI. MEDICAMENTOS PAGOS PELO RS",ISENÇÃO - Código encerrado,,26
RS051155,,,,,,SIM,SIM,SIM,,,,,,,,1102016,12022019,"LIVRO I,9,CXCVII.MERC.IMP.UTE PAMPA SUL",ISENÇÃO - Código encerrado,,26
RS051156,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,CXCVIII. ENERGIA ELET.MICRO/MINIGER",ISENÇÃO - Saídas internas de energia elétrica por distribuidora à unidade consumidora (Sistema Compensação de Energia),,118
RS051157,,,,,,SIM,SIM,SIM,,,,,,,,23032018,,"LIVRO I,9, CXCIX. EQUIPAMENTOS P/ SECR.SEGUR.","ISENÇÃO - Saídas internas de armas,coletes a prova de bala,EPIs,munições,veículos e equip. videomonit.em doação à SSP/RS",,120
RS051158,,,,,,SIM,SIM,SIM,,,,,,,,30042018,6122019,"LIVRO I,9, CC. EPI IMP.P/BOMBEIROS",ISENÇÃO - Código encerrado,,26
RS051159,,,,,,SIM,SIM,SIM,,,,,,,,1012019, ,"LIVRO I.9, CCI. MEDIC.SPINRAZA - AME","ISENÇÃO - Operações com o medicamento Spinraza (Nusinersena) injection 12mg/5ml, destinado a tratamento da AME",,110
RS051160,,,,,,SIM,SIM,SIM,,,,,,,,1022019, ,"LIVRO I,9, CCIII. REPETRO-SPED",ISENÇÃO - Saídas por exportação de bens/mercadorias fabricados no país que serão admitidos/adquiridos nos termos Repetro,,120
RS051161,,,,,,SIM,SIM,SIM,,,,,,,,1012020,31122026,"LIVRO I,9, CCV. PRODUTOS P/ MONTAGEM DE KITS DIAGNÓSTICOS",ISENÇÃO - Saídas internas de produtos para montagem de Kits diagnósticos para detecção imuno-rápida,,99
RS051162,,,,,,SIM,SIM,SIM,,,,,,,,6042020,,"LIVRO I,9,CCVII. REMESSA EXPRESSA DEV EXTERIOR",ISENÇÃO - Remessa  expressa  internacional  devolvida  ao  exterior,,67
RS051163,,,,,,SIM,SIM,SIM,,,,,,,,1102016,30092022,"LIVRO V, ART.35 -OPERACOES SOFTWARES E PROGRAMAS POR TED",ISENÇÃO - Revogada,,18
RS051164,,,,,,SIM,SIM,SIM,,,,,,,,1102016,,"LIVRO I,9,LXXXI.SISTEMA DE INFORMATICA/SEFAZ","ISENÇÃO - Saídas internas, de mercadorias destinadas à ampliação do Sistema de Informática da Secretaria da Fazenda",,115
RS051165,,,,,,SIM,SIM,SIM,,,,,,,,19082020,,"LIVRO I,9,CCVIII.MEDIC.ZOLGENSMA - TRAT. AME","ISENÇÃO - Operações com o medicamento Zolgensma, destinado a tratamento da AME",,78
RS051166,,,,,,SIM,SIM,SIM,,,,,,,,9092020,29112020,"LIVRO I,ART.9º,CCIX.DOAÇÕES P/TSE ELEIÇÕES MUN.2020 ",ISENÇÃO - Código encerrado,,26
RS051167,,,,,,SIM,SIM,SIM,,,,,,,,22032021,,"L.I,ART.9,CCX.VACINAS E INSUMOS P/VACINA SARS-CoV-2","ISENÇÃO - Operações com vacina e insumos para enfrentamente ao Coronavírus, e prest.de serviços de transporte corresp.",,118
RS051168,,,,,,SIM,SIM,SIM,,,,,,,,9042021,31072021,"L.I,ART.9,CCXI.MERC.P/PREVENCAO AO SARS-COV-2",ISENÇÃO - Código encerrado,,26
RS051169,,,,,,SIM,SIM,SIM,,,,,,,,20042021,30042024,"L.I,ART.9,CCXII.EQUIP.RESP.ELMO,PARTES E PEÇAS","ISENÇÃO - Saídas a prestadoras de serviço de saúde, doações, bem como prestação de serviço de transporte.",,105
RS051170,,,,,,SIM,SIM,SIM,,,,,,,,12052021,30042024,"L.I,ART.9,CCXIII.KITS TESTE COVID-19 E APARELHOS RESPIRATÓRIOS",ISENÇÃO - Saídas internas kits teste Covid-19 (3002.15.90 e 3822.0090) e aparelhos respiratórios (9019.20 e 9020.00),,116
RS051171,,,,,,SIM,SIM,SIM,,,,,,,,21052021,30042024,"L.I,ART.9,CCXIV.OXIGENIO MEDICINAL",ISENÇÃO - Saídas internas e interestaduais em relação às UFs que especifica bem como nas prest.de serviço de transporte,,119
RS051172,,,,,,SIM,SIM,SIM,,,,,,,,16082021,,"L.I,ART.9,CCXVI. MEDIC.RISDIPLAM - TRAT. AME","ISENÇÃO - Operações com o medicamento Risdiplam, destinado a tratamento da AME, NCMs 3003.90.99 e 3004.90.99.",,109
RS051173,,,,,,SIM,SIM,SIM,,,,,,,,8042022,,"L.I,ART.9,CCXVIII.PROG.DESENV.SUBMARINOS - PROSUB","ISENÇÃO - Operações Operações  com  mat.prima,  partes,  peças,  máq./equip., prest. de  serv. de  transporte - PROSUB",,118
RS051174,,,,,,SIM,SIM,SIM,,,,,,,,1012023,,"174 L.I,ART.9,CCXIX.MERC.P/REDE TRANSP.PUB.S/TRILHOS DE PASSAGEIROS",ISENÇÃO - Saídas de mercadorias às redes de transp.públ.sobre trilhos de passageiros (ver lista de NCMs no inciso),,114
RS051175,,,,,,SIM,SIM,SIM,,,,,,,,1012023,31122026,"LIVRO I,9,CCXX.IRRIGADORES E SISTEMAS DE IRRIGAÇÃO",ISENÇÃO - Operações internas com mercadorias classificadas nos códigos 8424.82.21 e 8424.82.29 da NBM/SH-NCM,,108
RS051176,,,,,,SIM,SIM,SIM,,,,,,,,2023-01-01 00:00:00,,"L.I,ART.9,CCXXI.MEDIC. EM DOACAO A ENT. BENEF.",ISENÇÃO - Operações com medicamentos relativas a doações com destino a entidades beneficentes que atuem na área da saúde,,120
RS051177,,,,,,SIM,SIM,SIM,,,,,,,,2023-01-01 00:00:00,,"L.I,ART.9,CCXXII.MEDIC. P/ TRAT. FIBROSE CIST.","ISENÇÃO - Operações com medicamentos com NCM 3004.90.69, destinados ao tratamento da Fibrose Cística",,100
RS051178,,,,,,SIM,SIM,SIM,,,,,,,,2023-09-10 00:00:00,31122026," L.I,ART.9,CCXXIII.DOAÇÃO DE GÊNEROS ALIMENTÍCIOS E EXCEDENTES DE ALIMENTOS","ISENÇÃO - Saídas, e prest.serv.transporte correspondentes, por doação de gêneros alimentícios e excedentes de alimentos",,119
RS051179,,,,,,SIM,SIM,SIM,,,,,,,,2024-01-01 00:00:00,30042027,"L.I,ART.9,CCXXV.QUEROSENE DE AVIACAO",ISENÇÃO - Saídas internas de querosene de aviação à companhia aérea que opere HUB no Estado,,91
RS051180,,,,,,SIM,SIM,SIM,,,,,,,,9102023,31032024,"L.I,ART.9,CCXXVI.MERCADORIAS PARA ATIVO IMOBILIZADO CALAMIDADE PUBLICA","ISENÇÃO - Saídas internas de mercadorias ao ativo imobilizado, município em estado de calamidade pública - Dec.57.177/23",,120
RS051181,,,,,,SIM,SIM,SIM,,,,,,,,1022024,31122026,"L.I,ART.9,CCXXXI.PRODUTOS P/ GERACAO DE ENERGIA ELETRICA COM BIOGAS",ISENÇÃO - Saídas internas de produtos destinados à geração de energia elétrica a partir do biogás,,97
RS051182,,,,,,SIM,SIM,SIM,,,,,,,,1012025,1012025,"L.I,ART.9,CCXXVII.OVOS SAIDAS INTERNAS",ISENÇÃO - REVOGADO,,18
RS051183,,,,,,SIM,SIM,SIM,,,,,,,,1052024,1052024,"L.I,ART.9,CCXXVIII.FLORES NATURAIS SAIDAS INTERNAS",ISENÇÃO - REVOGADO,,18
RS051184,,,,,,SIM,SIM,SIM,,,,,,,,1012025,1012025,"L.I,ART.9,CCXXIX.FRUTAS FRESCAS, VEGETAIS E HORTALIÇAS SAÍDAS INTERNAS",ISENÇÃO - REVOGADO,,18
RS051185,,,,,,SIM,SIM,SIM,,,,,,,,1012025,1012025," L.I,ART.9,CCXXX.MAÇÃS E PERAS FRESCAS SAÍDAS INTERNAS",ISENÇÃO - REVOGADO,,18
RS051186,,,,,,SIM,SIM,SIM,,,,,,,,1042024,31122026,"L.I,ART.9,CCXXXII.ATIVADORES DE VULCANIZAÇÃO DA BORRACHA","ISENÇÃO - Saídas internas de ativadores de vulcanização, código NCM 28051990, a partir de resíduos da ind.de celulose",,117
RS051187,,,,,,SIM,SIM,SIM,,,,,,,,1012025,,"L.I,ART.9,CLXXXVII.ENERGIA ELÉTRICA PARA TEMPLOS","ISENÇÃO - Operações internas de fornecimento de energia elétrica, destinadas a templos de qualquer culto religioso",,114
RS051188,,,,,,SIM,SIM,SIM,,,,,,,,14052024,31122024,"L.I.ART.9,CCXXXIII.ATIVO IMOBILIZADO CALAMIDADE PÚBLICA",ISENÇÃO - Saídas internas por venda para contribuintes dos municípios em calamidade pública (Dec.57596/24),,106
RS051189,,,,,,SIM,SIM,SIM,,,,,,,,22052024,31122024,"L.I.ART.9,CCXXXIV.DOAÇÃO PARA ASBANCOS CALAMIDADE PÚBLICA","ISENÇÃO - Saídas internas, prestação de serviços de transporte de doações para ASBANCOS (Dec.57601/24)",,102
RS051190,,,,,,SIM,SIM,SIM,,,,,,,,1062024,31122026,"L.I,ART.9,XX.LEITE FLUIDO EXCETO UTH","ISENÇÃO - Saídas internas de leite fluido leite fluido pronto para consumo humano, exceto UHT",,93
RS051191,,,,,,SIM,SIM,SIM,,,,,,,,1062024,,"L.I,ART.9,CXXV.PÃO FRANCÊS E MASSA CONGELADA PARA PREPARO DE PÃO FRANCÊS",ISENÇÃO - Saídas internas de pão francês e massa congelada destinada ao preparo de pão francês,,94
RS051192,,,,,,SIM,SIM,SIM,,,,,,,,4072024,28022025,"L.I,ART.9,CCXXXV.MERCADORIAS PARA RECONSTRUÇÃO DO AEROPORTO SALGADO FILHO E DA BASE AÉREA DE CANOAS",ISENÇÃO - Operações internas e prest.serv.transporte de merc. na reconstrução do Aeroporto S.F.e da Base Aérea de Canoas,,120
RS051193,,,,,,SIM,SIM,SIM,,,,,,,,4072024,31122026,"L.I,ART.9,CCXXXVI.MEDIC. ELEVIDYS P/ TRATAMENTO DE DISTROFIA MUSCULAR DE DUCHENNE",ISENÇÃO - Operações com o medicamento Elevidys(delandistrogene moxeparvovec) no tratamento de DMD,,97
RS051194,,,,,,SIM,SIM,SIM,,,,,,,,27072024,31032025,"L.I,ART.9,CCXXXVII.ONIBUS/CAMINHOES PARA CONTRIBUINTE IMPACTADO PELA ENCHENTE",ISENÇÃO - Saídas internas de ônibus e caminhões para contribuintes afetados pelas chuvas de abril e maio de 2024,,112
RS051195,,,,,,SIM,SIM,SIM,,,,,,,,1012025,,"L.I,ART.9,CCXXXVIII.MICROPRODUTOR RURAL",ISENÇÃO - Saídas internas de mercadorias rel.Apend.XLIX do RICMS por MPR cadastrado no Prog.Agroindústria Familiar do RS,,120
RS051196,,,,,,SIM,SIM,SIM,,,,,,,,24022025,31122026,"L.I,ART.9,CCXXXIX.VEICULO DOACAO SENAI","ISENÇÃO - Saídas internas de veículos automóveis e tratores, por fabricante, em doação à oficina de aprendizagem SENAI ",,119
RS051197,,,,,,SIM,SIM,SIM,,,,,,,,1052025,31122026,"L.I,ART.9,CCXL.PRODUTOR RURAL CHACHAÇA","ISENÇÃO - Saídas internas promovidas por microprodutor rural, decorrentes de venda de cachaça a consumidor final",,112
RS051198,,,,,,SIM,SIM,SIM,,,,,,,,22122025,31122026,"L.I,ART.9,CCXLIII-MEDICAMENTO DUVYZAT",ISENÇÃO - Operações com o medicamento Duvyzat (givinostat),,58
RS051400,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,10,I -TELECOMUNICACAO P/ ADM PUBLICA",ISENÇÃO - Prestação de serviço de telecomunicação para administraçao pública ,,77
RS051401,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,10,II -TELECOMUNIC P/ MISSOES DIPLOMATICAS",ISENÇÃO - Prestação de serviço de telecomunicação para Missões Diplomáticas e Repartições Consulares ,,101
RS051403,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,10,IV -DIFUSAO SONORA",ISENÇÃO - Prestação de serviço locais de difusão sonora,,55
RS051404,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,10,V -TAXI","ISENÇÃO - Prestação de serviço de transporte rodoviário de pessoas, realizadas táxi",,83
RS051405,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,10,VI -TRANSPORTE DE CALCARIO","ISENÇÃO - Prestação de serviço de transporte de calcário, interna, vinculada a programas de preservação ambiental do RS",,119
RS051406,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,10,VII -TRANSPORTE FERROVIARIO DE CARGA","ISENÇÃO - Prestação de serviço de transp. ferroviário de carga,na exp/imp de países do ""Acordo sobre o Transp. Intern.""",,119
RS051407,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,10,VIII -TRANSPORTE DE MERCADORIA-PROMOFAZ",ISENÇÃO - Prestação de serviço de transporte de mercadorias adquiridas em licitações/contratações destinadas ao PROMOFAZ,,120
RS051408,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122026,"LIVRO I,10,IX-TRANSP CARGA A CONTR.INSC NO CGC",ISENÇÃO - Prestação de serviço de transporte intermunicipal de cargas realizadas a contribuinte inscrito no CGC/TE,,114
RS051409,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,10,X.GESAC",ISENÇÃO - Prestação de serviço de comunicação referentes a acesso à internet e conectividade em banda larga do GESAC,,116
RS051411,,,,,,SIM,SIM,SIM,,,,,,,,1102016,31122019,"LIVRO I,10,XII.TELECOM.P/TEMPLOS DE QQ CULTO",ISENÇÃO - Código encerrado,,26
RS051412,,,,,,SIM,SIM,SIM,,,,,,,,9092020,29112020,"LIVRO I,ART.10,XIII.TRANSP.DOAÇÕES TSE ELEIÇÃO 2020",ISENÇÃO - Código encerrado,,26
RS051413,,,,,,SIM,SIM,SIM,,,,,,,,8062021,,"LV.I,ART.10,XIV.TRANSP.PROD.ELETR.LOG.REVERSA","ISENÇÃO - Prestação de serviço de transp.na logística reversa de prods.eletrônicos usados, rol no DF 10240/20, Anexo I",,118
RS051414,,,,,,SIM,SIM,SIM,,,,,,,,1012025,,"L.I,ART.10,XII.TELECOMUNICAÇÃO PARA TEMPLOS",ISENÇÃO - Prestação de serviço de de telecomunicação destinada a templos de qualquer culto religioso,,100
RS051500,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,I -PAPEL P/JORNAIS, PERIODICOS E LIVROS","NÃO INCIDÊNCIA DO ICMS - Saídas de papel destinado exclusivamente à impressão de jornais, periódicos e livros",,109
RS051501,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,II -JORNAIS, PERIODICOS E LIVROS","NÃO INCIDÊNCIA DO ICMS - Saídas de jornais, periódicos e livros, excluídos os livros em branco ou para escrituração",,115
RS051502,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,III -ENERG ELET,PETROLEO,COMB-INTEREST","NÃO INCIDÊNCIA DO ICMS - Operações interestaduais de energia elétrica e petróleo, lubrif. e combust. dele derivados",,115
RS051503,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,IV -OURO COMO ATIVO FINANCEIRO","NÃO INCIDÊNCIA DO ICMS - Operações com ouro, quando definido em lei como ativo financeiro ou instrumento cambial",,112
RS051504,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,V -EXPORTACOES",NÃO INCIDÊNCIA DO ICMS - Operações e prestações que destinem mercadorias ao exterior ,,85
RS051505,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,VI -MERC P/UTILI PREST SERV SUJEITA ISS","NÃO INCIDÊNCIA DO ICMS - Operações relativas a mercadorias sujeita ao ISS, de competência dos Municípios",,104
RS051506,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,VII -TRANSF PROPRIEDADE ESTABELECIMENTO",NÃO INCIDÊNCIA DO ICMS - Operações de qualquer natureza de que decorra a transferência de propriedade de estabelecimento,,120
RS051507,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,VIII -ALIENACAO FIDUCIARIA EM GARANTIA",NÃO INCIDÊNCIA DO ICMS - Operações decorrentes de alienação fiduciária em garantia,,82
RS051508,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,IX -ARRENDAMENTO MERCANTIL","NÃO INCIDÊNCIA DO ICMS - Operações de arrendamento mercantil, não compreendida a venda do bem arrendado ao arrendatário",,119
RS051509,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,X -SALVADOS DE SINISTRO",NÃO INCIDÊNCIA DO ICMS - Operações decorrentes da transferência de bens móveis salvados de sinistro a seguradoras,,113
RS051510,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,XI -ARMAZEM-GERAL","NÃO INCIDÊNCIA DO ICMS - Saídas de mercadorias a armazém-geral situado neste Estado, para depósito em nome do remetente",,119
RS051511,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,XII -DEPOSITO FECHADO","NÃO INCIDÊNCIA DO ICMS - Saídas de mercadorias a depósito fechado do próprio contribuinte, localizado neste Estado",,114
RS051512,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,XIII -DEVOLUCAO ARMAZ GERAL,DEP FECHADO",NÃO INCIDÊNCIA DO ICMS - Saídas de mercadorias de dep.fechado/armazém geral em devolução ao estabelecimento de origem,,117
RS051513,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,XIV -MERCADORIAS DE TERCEIROS","NÃO INCIDÊNCIA DO ICMS - Saídas na prestação de serviço de transporte, por transportadora, de mercadorias de terceiros",,118
RS051514,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,XV. ATIVO IMOB./MAT. USO E CONSUMO",NÃO INCIDÊNCIA DO ICMS - Saída de bem do ativo imobilizado ou do uso e consumo do estabelecimento,,97
RS051515,,,,,,SIM,SIM,SIM,,,,,,,,1102016, ,"LIVRO I,11,XVI-LICENCIAMENTO/CESSÃO DE DIREITO DE USO DE SOFTWARE","NÃO INCIDÊNCIA DO ICMS - Operações de licenciamento ou cessão do direito de uso de software, decisão do STF n° 688.223",,118
RS051516,,,,,,SIM,SIM,SIM,,,,,,,,25052020,,"LIVRO I,11,XVII - FONOGRAMAS E VIDEOGRAMAS MUSICAIS",NÃO INCIDÊNCIA DO ICMS - Saídas de fonogramas e videofonogramas musicais produzidos no Brasil de autores  brasileiros,,117
RS051517,,,,,,SIM,SIM,SIM,,,,,,,,23062022,,"L.I,11,XVIII.SERV.TRANSM./DISTRIB.ENERGIA ELETRICA",NÃO INCIDÊNCIA DO ICMS - Serviços de transm.e distrib.e encargos setoriais vinculados às operações com energia elétrica,,119
RS051600,,,,,SIM,,,,,SIM,,,,SIM,,1102016, ,"LIVRO I,23,I -MERCADORIAS USADAS",REDUÇÃO DE BASE DE CÁLCULO - Saída de mercadorias usadas,,56
RS051601,,,,,SIM,,,,,SIM,,,,SIM,,1102016, ,"LIVRO I,23,II -CESTA BASICA DE ALIMENTOS","REDUÇÃO DE BASE DE CÁLCULO - Saídas internas de mercadorias relacionadas no Ap.IV, da cesta básica de alimentos do RS",,117
RS051602,,,,,SIM,,,,,SIM,,,,SIM,,1102016, ,"LIVRO I,23,III -OLEO EM BRUTO/EMBALAGENS","REDUÇÃO DE BASE DE CÁLCULO - Saídas internas de óleo em bruto, mesmo degomado, quando destinado à industrialização",,114
RS051604,,,,,SIM,,,,,SIM,,,,SIM,,1102016, ,"LIVRO I,23,V -TRIGO EM GRAO",REDUÇÃO DE BASE DE CÁLCULO - Saídas internas e nas importações do exterior de trigo em grão,,91
RS051605,,,,,SIM,,,,,SIM,,,,SIM,,1102016, ,"LIVRO I,23,VI -REFEICOES-RESTAURANTES","REDUÇÃO DE BASE DE CÁLCULO - Fornecimento de refeições por bares,restaurantes,empresas preparadoras de refeições colet.",,119
RS051606,,,,,SIM,,,,,SIM,,,,SIM,,1102016,1102016,"LIVRO I,23,VII -ÁGUA NATURAL CANALIZADA",REDUÇÃO DE BASE DE CÁLCULO - Revogada,,37
RS051607,,,,,SIM,,,,,SIM,,,,SIM,,1102016, ,"LIVRO I,23,VIII -CESTA BASICA DE MEDICAMENTOS","REDUÇÃO DE BASE DE CÁLCULO - Saídas internas das mercadorias da cesta básica de medicamentos do RS, cfe. Apêndice V",,115
RS051608,,,,,SIM,,,,,SIM,,,,SIM,,1102016,31122027,"LIVRO I,23,IX -INSUMOS AGROPECUARIOS",REDUÇÃO DE BASE DE CÁLCULO - Saídas interestaduais de insumos agropecuários,,75
RS051609,,,,,SIM,,,,,SIM,,,,SIM,,1102016,31122027,"LIVRO I,23,X -INSUMOS PARA ALIMENTAÇÃO ANIMAL/FERTILIZANTES",REDUÇÃO DE BASE DE CÁLCULO - Saídas interestaduais de produtos para alim.animal/fabricação de ração e fertilizantes,,115
RS051611,,,,,SIM,,,,,SIM,,,,SIM,,1102016, ,"LIVRO I,23,XII -BEFIEX",REDUÇÃO DE BASE DE CÁLCULO - Saídas de máq./equip. a ativo permanente de empresa industrial que os adquiriu pelo BEFIEX,,119
RS051612,,,,,SIM,,,,,SIM,,,,SIM,,1102016,31122026,"LIVRO I,23,XIII -MAQ,EQUIPAM APARELHOS,INDUSTRIAIS","REDUÇÃO DE BASE DE CÁLCULO - Saídas de máquinas, aparelhos e equipamentos, industriais, relacionados no Apêndice X",,114
RS051613,,,,,SIM,,,,,SIM,,,,SIM,,1102016,31122026,"LIVRO I,23,XIV -MAQUINAS E IMPLEMENTOS AGRICOLAS","REDUÇÃO DE BASE DE CÁLCULO - Saídas de máquinas e implementos agrícolas, relacionados no Apêndice XI",,100
RS051614,,,,,SIM,,,,,SIM,,,,SIM,,1102016,31122026,"LIVRO I,23,XV -AERONAVES, PECAS E ACESSORIOS","REDUÇÃO DE BASE DE CÁLCULO - Saídas e importação do exterior de aeronaves, peças,acessórios relacionados no Apêndice XII",,120
RS051615,,,,,SIM,,,,,SIM,,,,SIM,,1102016,31032021,"LIVRO I,23,XVI -PROD ACABADOS DE INFORM/AUTOMACAO",REDUÇÃO DE BASE DE CÁLCULO - Código encerrado,,45
RS051616,,,,,SIM,,,,,SIM,,,,SIM,,1102016,31122026,"LIVRO I,23,XVII -FERROS E ACOS NAO-PLANOS",REDUÇÃO DE BASE DE CÁLCULO - Operações internas com ferros e aços não-planos,,76
RS051617,,,,,SIM,,,,,SIM,,,,SIM,,1102016, ,"LIVRO I,23,XVIII -TIJ,TELHA,TUBO,MANILHA,TAPA-VIGA","REDUÇÃO DE BASE DE CÁLCULO - Saídas internas de telhas,tubos,manilhas(de argila/barro),tijoleiras e tapa-vigas(cerâmica)",,120
RS051618,,,,,SIM,,,,,SIM,,,,SIM,,1102016,1102016,"LIVRO I,23,XIX -ZONA FRANCA DE MANAUS",REDUÇÃO DE BASE DE CÁLCULO - Revogada,,37
